userId,genre
437,Drama
438,Action
439,Action
440,Drama
441,Action
442,Drama
443,Drama
444,Drama
445,Drama
446,Drama
447,Action
448,Comedy
449,Comedy
450,Drama
451,Thriller
452,Action
453,Comedy
454,Drama
455,Drama
456,Comedy
457,Action
458,Drama
459,Adventure
460,Drama
461,Drama
462,Drama
463,Action
464,Action
465,Thriller
466,Action
467,Drama
468,Thriller
469,Drama
470,Drama
471,Comedy
472,Drama
473,Drama
474,Drama
475,Adventure
476,Drama
477,Comedy
478,Comedy
479,Comedy
480,Drama
481,Drama
482,Action
483,Comedy
484,Comedy
485,Action
486,Action
487,Drama
488,Comedy
489,Comedy
490,Drama
491,Comedy
492,Comedy
493,Action
494,Action
495,Drama
496,Drama
497,Drama
498,Thriller
499,Drama
500,Comedy
501,Thriller
502,Drama
503,Drama
504,Drama
505,Horror
506,Drama
507,Drama
508,Comedy
509,Comedy
510,Drama
511,Drama
512,Drama
513,Drama
514,Comedy
515,Action
516,Comedy
517,Comedy
518,Drama
519,Comedy
520,Comedy
521,Drama
522,Drama
523,Drama
524,Action
525,Comedy
526,Drama
527,Adventure
528,Drama
529,Comedy
530,Drama
531,Adventure
532,Action
533,Horror
534,Action
535,Comedy
536,Drama
537,Drama
538,Comedy
539,Comedy
540,Action
541,Comedy
542,Comedy
543,Comedy
544,Drama
545,Thriller
546,Horror
547,Drama
548,Drama
549,Action
550,Action
551,Action
552,Comedy
553,Drama
554,Drama
555,Comedy
556,Adventure
557,Adventure
558,Drama
559,Comedy
560,Drama
561,Action
562,Drama
563,Comedy
564,Comedy
565,Comedy
566,Drama
567,Adventure
568,Drama
569,Action
570,Drama
571,Horror
572,Drama
573,Action
574,Thriller
575,Comedy
576,Comedy
577,Drama
578,Drama
579,Drama
580,Drama
581,Drama
582,Action
583,Comedy
584,Comedy
585,Drama
586,Adventure
587,Comedy
588,Drama
589,Drama
590,Drama
591,Drama
592,Action
593,Drama
594,Comedy
595,Drama
596,Action
597,Comedy
598,Romance
599,Drama
600,Comedy
601,Drama
602,Drama
603,Drama
604,Drama
605,Fantasy
606,Drama
607,Drama
608,Comedy
609,Drama
610,Action
